year,plot,column,row,accession,SampleName,DTF,DTH,PtHt,PcleLng,SdLen,TGW,SdWpPlot,SdW_z
2017,112,2,116,D-12069,S114_batch3,NA,NA,105,NA,NA,NA,90.72,-0.254405292
2017,113,2,117,D-12307,NA,NA,NA,75,NA,NA,NA,NA,NA
2017,115,2,119,D-12184,S1G11_batch1,NA,NA,91,NA,NA,NA,42.79,-0.815007326
2017,116,2,120,D-11969,S113_batch3,NA,NA,180,NA,NA,NA,201.2,1.037798186
2017,117,2,121,CHEN-207,NA,NA,NA,75,NA,NA,NA,25.84,-1.013259036
2017,118,2,122,D-12076,NA,NA,NA,92,NA,NA,NA,64.9,-0.556402883
2017,119,2,123,D-12215,NA,NA,NA,100,NA,NA,NA,122.88,0.121746625
2017,122,2,126,D-12112,S7A2_batch2,NA,NA,136,NA,NA,NA,16.15,-1.126595854
2017,124,2,128,PI-614907,S7H3_batch2,NA,NA,106,NA,NA,NA,156.44,0.514273316
2017,125,2,129,CHEN-473,NA,NA,NA,100,NA,NA,NA,NA,NA
2017,126,2,130,CHEN-228,NA,NA,NA,56,NA,NA,NA,NA,NA
2017,127,2,131,D-12423,NA,NA,NA,100,NA,NA,NA,36.44,-0.889278615
2017,128,2,132,D-12019,S6G8_batch2,NA,NA,110,NA,NA,NA,60.54,-0.607398603
2017,129,2,133,D-12042,NA,NA,NA,108,NA,NA,NA,NA,NA
2017,130,2,134,D-12185,NA,NA,NA,154,NA,NA,NA,NA,NA
2017,132,2,136,PI-614885,S1C9_batch1,NA,NA,142,NA,NA,NA,128.66,0.189351044
2017,134,2,138,D-12391,NA,NA,NA,107,NA,NA,NA,56.49,-0.65476848
2017,268,3,5,CHEN-310,NA,NA,NA,120,NA,NA,NA,28.79,-0.978755051
2017,267,3,6,PI-614919,S4F1_batch1,NA,NA,170,NA,NA,NA,140.01,0.322103664
2017,266,3,7,PI-614885,S1C9_batch1,NA,NA,143,NA,NA,NA,73.5,-0.455814994
2017,265,3,8,D-9999,NA,NA,NA,142,NA,NA,NA,NA,NA
2017,264,3,9,D-12268,S3C7_batch1,NA,NA,90,NA,NA,NA,27.61,-0.992556645
2017,263,3,10,CHEN-70,NA,NA,NA,155,NA,NA,NA,169.11,0.662465007
2017,262,3,11,PI-510536,S5C9_batch2,NA,NA,120,NA,NA,NA,159.82,0.553806695
2017,261,3,12,D-12119,S2E3_batch1,NA,NA,110,NA,NA,NA,NA,NA
2017,260,3,13,CHEN-306,NA,NA,NA,120,NA,NA,NA,10.88,-1.188235177
2017,259,3,14,D-12389,S4D3_batch1,NA,NA,125,NA,NA,NA,73.67,-0.453826629
