"iteration","fold","trait","location","pearson","ndcg_at_10","seed","n_test_genotypes"
2,1,"DTF_mean","AUS",0.240057626562402,0.67388121544921,1002,105
2,1,"DTF_mean","PAK",0.542716041849009,0.807187760061931,1002,52
2,1,"DTH_mean","AUS",0.38295795828219,0.564415550304836,1002,104
2,1,"DTH_mean","PAK",0.426311444074772,0.870536212543731,1002,49
2,1,"PcleLng_blue","AUS",0.375109018815616,0.677239381830818,1002,105
2,1,"PcleLng_blue","PAK",0.186516814952727,0.630437249200071,1002,51
2,1,"SdW_z_blue","AUS",0.433685455920783,0.750284191428129,1002,106
2,1,"SdW_z_blue","PAK",-0.103813819611168,0.471780167982851,1002,48
2,1,"TGW_blue","AUS",0.408575551792431,0.665351050592175,1002,102
2,1,"TGW_blue","PAK",-0.0325803315071872,0.681493445999954,1002,48
2,1,"SdLen_blue","AUS",0.405177348515732,0.698454515497883,1002,102
2,1,"SdLen_blue","PAK",0.0498856136002587,0.758860239083755,1002,48
2,1,"DTF_blue","AUS",0.251494254096109,0.76112496499795,1002,105
2,1,"DTF_blue","PAK",0.524986662132512,0.690737949041106,1002,52
2,1,"DTH_blue","AUS",0.39488544589483,0.573522200071194,1002,104
2,1,"DTH_blue","PAK",0.423915509991444,0.864877497138118,1002,49
2,2,"PcleLng_mean","AUS",0.251827722401603,0.522597668568783,1002,104
2,2,"PcleLng_mean","PAK",-0.12411499719713,0.375077398863198,1002,58
2,2,"SdW_mean","AUS",0.332897530381125,0.603942488729912,1002,107
2,2,"SdW_mean","PAK",0.0798175271979763,0.540502881997762,1002,52
2,2,"TGW_mean","AUS",0.563039484128307,0.846883851231398,1002,103
2,2,"TGW_mean","PAK",0.210503001139344,0.644370660798393,1002,52
2,2,"SdLen_mean","AUS",0.608866294622908,0.818676831278619,1002,103
2,2,"SdLen_mean","PAK",0.234834263670586,0.646222743104556,1002,52
2,2,"DTF_mean","AUS",0.439714102251925,0.838149240153609,1002,104
2,2,"DTF_mean","PAK",0.29798133647098,0.791759027826408,1002,57
2,2,"DTH_mean","AUS",0.347380418749081,0.763188046896258,1002,104
2,2,"DTH_mean","PAK",0.263621451542295,0.837907220671057,1002,52
2,2,"PcleLng_blue","AUS",0.234480572434663,0.539837501654448,1002,104
2,2,"PcleLng_blue","PAK",-0.132297211923007,0.392198552627578,1002,58
2,2,"SdW_z_blue","AUS",0.332754498397453,0.563502665501848,1002,107
2,2,"SdW_z_blue","PAK",0.0982355854826404,0.53649219656671,1002,52
2,2,"TGW_blue","AUS",0.557800547848305,0.8365565370607,1002,103
2,2,"TGW_blue","PAK",0.226189503793667,0.646222123964141,1002,52
2,2,"SdLen_blue","AUS",0.608837924190429,0.843108122956735,1002,103
2,2,"SdLen_blue","PAK",0.226118138464314,0.691268321951843,1002,52
2,2,"DTF_blue","AUS",0.447187739286533,0.851073978665985,1002,104
2,2,"DTF_blue","PAK",0.295193414755942,0.685619423604388,1002,57
2,2,"DTH_blue","AUS",0.364789204474635,0.756869411072389,1002,104
2,2,"DTH_blue","PAK",0.267267308608231,0.838297560141779,1002,52
2,3,"PcleLng_mean","AUS",0.405067003365581,0.573678574245997,1002,104
2,3,"PcleLng_mean","PAK",0.216930768411473,0.501500253708025,1002,60
2,3,"SdW_mean","AUS",0.415511168596957,0.809383834719586,1002,107
2,3,"SdW_mean","PAK",0.154943459861773,0.60370636723326,1002,56
2,3,"TGW_mean","AUS",0.544818967622003,0.869399948997007,1002,101
2,3,"TGW_mean","PAK",0.176187572569818,0.72115867778531,1002,56
2,3,"SdLen_mean","AUS",0.5196419847648,0.896574646420031,1002,101
2,3,"SdLen_mean","PAK",0.133663068686376,0.737541614823157,1002,56
2,3,"DTF_mean","AUS",0.305893019987527,0.81253450965939,1002,104
2,3,"DTF_mean","PAK",0.279458947713704,0.699974543136259,1002,61
2,3,"DTH_mean","AUS",0.555882233080848,0.806405050268696,1002,102
2,3,"DTH_mean","PAK",0.562236452661581,0.89941987295617,1002,57
2,3,"PcleLng_blue","AUS",0.416192811201781,0.601536617574225,1002,104
2,3,"PcleLng_blue","PAK",0.326320809165494,0.613273829920558,1002,60
2,3,"SdW_z_blue","AUS",0.367618843717483,0.73802531570981,1002,107
2,3,"SdW_z_blue","PAK",0.240368440684899,0.653597335667409,1002,56
2,3,"TGW_blue","AUS",0.548486002126938,0.855370328205548,1002,101
2,3,"TGW_blue","PAK",0.209611263574517,0.720837196743268,1002,56
2,3,"SdLen_blue","AUS",0.546563979038149,0.896963114814143,1002,101
2,3,"SdLen_blue","PAK",0.183752227980886,0.746867835876879,1002,56
2,3,"DTF_blue","AUS",0.320850034543804,0.885526873264519,1002,104
2,3,"DTF_blue","PAK",0.351702635339014,0.740226964318275,1002,61
2,3,"DTH_blue","AUS",0.554649436197379,0.814425802906739,1002,102
2,3,"DTH_blue","PAK",0.584645993372315,0.896018962668455,1002,57
2,4,"PcleLng_mean","AUS",0.380060691160716,0.60720663335267,1002,102
2,4,"PcleLng_mean","PAK",0.0750219556741542,0.31030449010331,1002,55
2,4,"SdW_mean","AUS",0.314691854633389,0.85410052833811,1002,106
2,4,"SdW_mean","PAK",-0.0707115626510588,0.544160829347925,1002,53
2,4,"TGW_mean","AUS",0.434290538865747,0.662620791563425,1002,98
2,4,"TGW_mean","PAK",-0.0720377651918951,0.566063630929506,1002,53
2,4,"SdLen_mean","AUS",0.465542444938735,0.852863818079775,1002,98
2,4,"SdLen_mean","PAK",-0.0116892226279451,0.725257679408976,1002,53
2,4,"DTF_mean","AUS",0.151155351145647,0.743132210640642,1002,102
2,4,"DTF_mean","PAK",0.32768869599101,0.82947266883398,1002,56
2,4,"DTH_mean","AUS",0.180018199041134,0.553304064319986,1002,100
2,4,"DTH_mean","PAK",0.23100237448427,0.83571982795546,1002,54
2,4,"PcleLng_blue","AUS",0.381467276481515,0.616774724093457,1002,102
2,4,"PcleLng_blue","PAK",0.086725582308607,0.283995828099282,1002,55
2,4,"SdW_z_blue","AUS",0.339769940965318,0.853488245083796,1002,106
2,4,"SdW_z_blue","PAK",-0.0450074289300473,0.565409715419394,1002,53
2,4,"TGW_blue","AUS",0.420800136102959,0.676673824496723,1002,98
2,4,"TGW_blue","PAK",-0.065479319900593,0.570406196569824,1002,53
2,4,"SdLen_blue","AUS",0.459688233669125,0.805450915290673,1002,98
2,4,"SdLen_blue","PAK",-0.0259203711690025,0.62779504721776,1002,53
2,4,"DTF_blue","AUS",0.152181606985525,0.854926731106362,1002,102
2,4,"DTF_blue","PAK",0.369839252874143,0.847941687850754,1002,56
2,4,"DTH_blue","AUS",0.198000513514688,0.569696674636373,1002,100
2,4,"DTH_blue","PAK",0.215848165876595,0.834175022044943,1002,54
2,5,"PcleLng_mean","AUS",0.368465615493762,0.659649139982913,1002,102
2,5,"PcleLng_mean","PAK",-0.0311577830602184,0.54686006561464,1002,73
2,5,"SdW_mean","AUS",0.239110059569007,0.602015036043086,1002,109
2,5,"SdW_mean","PAK",0.0487947016980115,0.48568518959977,1002,72
2,5,"TGW_mean","AUS",0.369199824640495,0.663951039937731,1002,102
2,5,"TGW_mean","PAK",0.212428462411002,0.766962771048515,1002,72
2,5,"SdLen_mean","AUS",0.422891677255601,0.682915044582902,1002,102
2,5,"SdLen_mean","PAK",0.237694103567716,0.647385450162079,1002,72
2,5,"DTF_mean","AUS",0.166496917416703,0.745628983301464,1002,102
2,5,"DTF_mean","PAK",0.322179897704193,0.827603972184341,1002,72
2,5,"DTH_mean","AUS",0.307859046638481,0.697752234383203,1002,102
2,5,"DTH_mean","PAK",0.282225828226911,0.855548838845103,1002,73
2,5,"PcleLng_blue","AUS",0.38734579697797,0.646322239782934,1002,102
2,5,"PcleLng_blue","PAK",-0.0251669523503573,0.498180530851636,1002,73
