sample.id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32
S736_batch3,-0.0694647165761839,-0.0119083864258638,-0.000579571104116711,0.00435677883041373,-0.0760749399211246,-0.00953563705582438,0.00357689185071582,0.101047980733357,-0.085574651319249,-0.0677286507334665,0.0538017510195194,-0.011920991393532,0.0318054131799329,0.0294329040844355,-0.0105223268485427,0.0343497407866665,-0.121434406643393,0.059774958089545,0.0666629149799808,0.0110093051998193,0.0349254905132797,0.0666577373370333,0.0336183473943214,-0.0229670662394711,0.0592174402715318,-0.0552588776755751,0.0361961768236191,-0.0405389766670399,-0.00109485244439466,-0.0546652326998276,-0.0101997337304757,0.0455404619328085
S1C8_batch1,-0.0437795550314303,0.00455869600624332,0.017927546131686,0.0415044137755338,-0.0473216776769584,-0.0117671449076738,0.00585740747748116,0.0614617006434815,-0.0842781767613011,0.0320824065412724,0.0289471659512205,-0.0289241184486988,-0.012562712069915,0.0151126806451423,0.0447332224483024,0.0247945373429135,-0.0650122461692964,0.0264403380025439,0.0481454436797409,0.0275722117346166,0.0332119320960916,-0.000904231005125084,0.0110137120863591,-0.0409829241586972,-0.0382846455353657,-0.0628920355577092,0.00971474921095422,-0.00110449610448792,0.0420574474413998,0.0800475626974925,-0.0645679379402379,-0.0404430367129034
S2A4_batch1,-0.0739489909120853,-0.0173940232015047,-0.005755965408427,-0.00598719482781303,-0.0758145642550618,-0.0080431127196182,0.00397414175427165,0.0972226710092948,-0.0680269194273268,-0.0680079671392008,0.0478218771624399,-0.00316451664748038,0.0263893039376124,0.00972310433681338,0.00225180315528874,0.0229892682575282,-0.0949502566531074,0.0688341677434238,0.0566218124400439,-0.00334458355938824,0.0323139294338406,0.0741747137617178,0.0485418680544573,-0.020024182542882,0.0791768225409643,-0.0816411962740619,0.059636073430906,-0.0368880602876006,0.022566124578115,-0.053441915879938,-0.0248033244683812,0.0472963329784543
S3F1_batch1,-0.0753731898708618,-0.0198136247308798,-0.00757672227390023,-0.0094861898605022,-0.0570106550087129,-0.00509037961537676,0.00665603488353894,0.053953405342573,0.00894679283731898,-0.0858993524687107,0.0973796520713566,-0.00838522437155797,-0.0305818999118291,-0.0826587082201593,0.0843392821163717,-0.0329253806957407,0.196667582619396,-0.00576284163151896,-0.0680637512791001,-0.0932693907604573,0.00898987146124376,-0.0165166461695316,0.0106307794810917,-0.0432346823207791,-0.0331279409414525,0.0719209116922823,0.0285419027415578,0.00108530512784635,-0.177618270561086,0.0303495275555478,0.0881389289845264,0.102817561573055
S2D9_batch1,-0.0206026378548441,0.000366559836916301,0.032009950200477,0.0522039455185796,-0.018132384089362,-0.00875241082006203,-0.0124591074501671,-0.010859576981846,-0.0369096759746599,0.0387835859085442,-0.0557706793613774,0.0521731276439739,0.105112835913881,-0.0172741019646605,-0.0366074366775115,-0.0043761878002727,0.0800808896833122,0.0335505969179373,0.0496715355827439,0.0235106953060204,0.000988810411737799,0.0322902633074975,0.0449455847429324,0.00843331041522579,-0.00635554810621939,0.00992535694867411,-0.0686896637432384,-0.00644749496226219,0.0494020080209037,0.0963136021348325,0.0263353598432646,0.0210292929014099
S1B3_batch1,-0.0558544208253338,-0.00451650402190756,0.00861977673236053,0.023366380909747,-0.0653548933120342,-0.00522062422842501,0.00557641919006042,0.0827940710448432,-0.0826422072525382,-0.00810504386249388,0.0456635011173677,-0.0186890072243521,0.020167858078585,0.0342941527889119,-0.00183830250125585,0.0292996628131871,-0.117830269637441,0.0549914669052994,0.0337590425660801,0.0127071098296648,0.0554011989096224,0.0711277895415972,0.071345811278676,-0.0169275455833968,-0.00809216333784929,-0.0167960146436321,0.0118484880020008,-0.0060991536123042,0.0237139411944339,0.00560907528813716,-0.0106322358772558,0.0131545810598001
S1B6_batch1,-0.046340882126705,0.00302930271249667,0.0166642330750552,0.0389228732702273,-0.0476602694221978,-0.00245189473050142,-0.00031410766111796,0.0128068079460429,-0.0834878131453908,0.0403240660911015,-0.0303055311496832,0.00541424245462764,0.0049579510491049,0.0371648770279544,-0.0329309314163096,0.0153555471499771,-0.0685902573611199,-0.0180276665365859,-0.0149173015662878,0.030478093831282,0.0835324338383697,0.0579187164033126,0.144486369012403,-0.020494129513425,-0.038663330620339,0.0961543896870048,-0.0816129299990154,0.00451120134903413,-0.0134654595675175,0.07395525650209,0.0155727009886467,0.000541807395730245
S22_batch3,-0.0446648111738172,-0.0106305483985934,-0.0111614081658605,0.0172782038290179,-0.0444177517692351,-0.0368265587032811,0.070081565295318,0.0463114603540274,-0.0563618093032261,-0.0034038808178786,0.0844170736721277,-0.00373091743674321,-0.0703289275979846,-0.0657016178164952,0.119761477992239,0.0152720059326932,0.0220316446945213,0.0620569401483535,-0.0251167950846302,-0.0420169521244457,0.00429289349491546,0.0390116255534786,-0.040225333094992,0.0246424846870403,-0.0180896392642033,-0.056896815782001,0.0922345247122019,-0.00210230687696302,0.055608980731018,-0.0642691708717645,-0.0389841078395005,-0.0237789713211556
S4F11_batch1,-0.0735126199070455,-0.0175579736921525,-0.00612061532253966,-0.00800725632935066,-0.0675441234106818,0.00157033584612468,-0.00101508009395539,0.027203886173104,0.017300582174016,-0.0354290411582017,0.05485808093695,-0.0134307887175178,0.0181494714363263,0.0126284557889907,-0.00499345615142459,0.0134867035355746,-0.0699110844866819,0.0377149187745673,0.033789690132524,0.00368406635761611,0.0248258321834503,0.0490305891153439,0.023626064861898,-0.00475252589227883,0.0229732950453398,-0.0795608706820159,0.0894353256671168,-0.0279842615098114,0.00223612685954843,-0.0317838596269198,-0.00257136310704653,0.0423977844199099
S1F7_batch1,-0.0566678453989524,-0.00623598274829323,0.00695473017546649,0.0116791277989101,-0.00706530416934253,-0.00698281109556471,0.00344342240970833,0.0733683093003154,-0.0765058620571273,-0.039705306120467,0.0273506825374219,0.00181667045927848,0.0189914666862061,0.00691864708332489,-0.00989287821531173,-0.00400931975246392,-0.0436405097359039,0.0208178499809305,-0.00570798720465821,-0.00967719166073921,0.0771231715110261,0.0598216993146835,0.110755430971949,-0.0310649021690867,0.00998911246803449,-0.106361038537305,0.0705116893781974,-0.0383748916715389,0.0345114065039089,0.00845440715077528,-0.00806661188174064,0.0375149337104121
